plus +
minus -
multiply ×
divide ÷
percent %
caret ^
ampersand &
asterisk *
pipe |
backslash \
l_parens (
r_parens )
l_brace {
r_brace }
l_bracket [
r_bracket ]
gt <
ls >
semicolon ;
colon :
comma ,
period .
question_mark ?
single_quote '
double_quote "
equals =
exclamation !
underscore _

0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9

a a
b b
c c
d d
e e
f f
g g
h h
i i
j j
k k
l l
m m
n n
o o
p p
q q
r r
s s
t t
u u
v v
w w
x x
y y
z z

A A
B B
C C
D D
E E
F F
G G
H H
I I
J J
K K
L L
M M
N N
O O
P P
Q Q
R R
S S
T T
U U
V V
W W
X X
Y Y
Z Z

alpha α
beta β
gamma γ
delta δ
epsilon ε
zeta ζ
eta η
theta θ
iota ι
kappa κ
lambda λ
mu μ
nu ν
xi ξ
omikron ο
pi π
rho ρ
sigma σ
tau τ
upsulon υ
phi φ
hi χ
psi ψ
omega ω

ALPHA Α
BETA Β
GAMMA Γ
DELTA Δ
EPSILON Ε
ZETA Ζ
ETA Η
THETA Θ
IOTA Ι
KAPPA Κ
LAMBDA Λ
MU Μ
NU Ν
XI Ξ
OMIKRON Ο
PI Π
RHO Ρ
SIGMA Σ
TAU Τ
UPSULON Υ
PHI Φ
HI Χ
PSI Ψ
OMEGA Ω
